ulpin,compensation_gap_index,compensation_gap_band,compensation_gap_reason,litigation_propensity_score,litigation_propensity_band,litigation_propensity_reason,heir_claim_count,undocumented_claims,contested_claims,share_total_pct,succession_risk_band,succession_reason
22-002-003-642583,63.19,Medium,Only 11% of the sanctioned award has actually been disbursed,36.84,Medium,Dispute at Under Hearing with 3 matter(s) on file,4,2,1,100.0,High,Competing heirship claims over the same parcel
22-002-003-644798,58.47,Medium,Compensation sanctioned is 49% below the circle-rate benchmark,23.59,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-003-731451,45.45,Medium,Compensation sanctioned is 40% below the circle-rate benchmark,26.94,Low,Dispute at Under Hearing with 1 matter(s) on file,4,2,0,95.7,Medium,2 heir claim(s) without documentary proof — mutation not established
22-002-004-192320,27.69,Low,Compensation is close to the circle-rate benchmark and largely disbursed,37.32,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-004-231516,56.86,Medium,Compensation sanctioned is 37% below the circle-rate benchmark,11.0,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-005-605965,34.38,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,74.82,High,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-006-583299,33.63,Medium,Only 14% of the sanctioned award has actually been disbursed,48.44,Medium,Dispute at Under Hearing with 2 matter(s) on file,2,0,2,100.0,High,Competing heirship claims over the same parcel
22-002-007-199555,36.48,Medium,Only 23% of the sanctioned award has actually been disbursed,41.35,Medium,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-007-592318,53.97,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,21.81,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-008-335658,52.78,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,4.21,Low,"Clear title, no live litigation on record",3,0,0,100.0,Medium,3 heirs on one parcel — consent risk at award
22-002-008-923294,32.21,Low,Compensation is close to the circle-rate benchmark and largely disbursed,28.08,Low,Dispute at Filed with 3 matter(s) on file,3,0,1,100.0,High,Competing heirship claims over the same parcel
22-002-009-216421,64.45,Medium,Compensation sanctioned is 42% below the circle-rate benchmark,46.11,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,2,2,100.0,High,Competing heirship claims over the same parcel
22-002-009-541227,46.41,Medium,Only 20% of the sanctioned award has actually been disbursed,43.95,Medium,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-010-292044,49.15,Medium,Only 12% of the sanctioned award has actually been disbursed,26.87,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-010-326081,53.35,Medium,Compensation sanctioned is 46% below the circle-rate benchmark,49.12,Medium,Dispute at Under Hearing with 6 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-010-708428,35.18,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,22.32,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-010-780310,57.38,Medium,Compensation sanctioned is 47% below the circle-rate benchmark,3.75,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-013-975593,64.67,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,68.52,High,Dispute at Filed with 7 matter(s) on file,1,1,0,80.4,Medium,1 heir claim(s) without documentary proof — mutation not established
22-002-014-342105,42.71,Medium,Only 41% of the sanctioned award has actually been disbursed,56.14,Medium,Dispute at Filed with 4 matter(s) on file,2,0,0,97.3,Low,All heirship claims documented
22-002-014-783176,41.88,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,31.32,Low,Dispute at Under Hearing with 1 matter(s) on file,3,1,1,100.0,High,Competing heirship claims over the same parcel
22-002-014-968638,51.15,Medium,Only 32% of the sanctioned award has actually been disbursed,41.27,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-016-709031,36.23,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,38.41,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-016-810586,9.7,Low,Compensation is close to the circle-rate benchmark and largely disbursed,28.76,Low,Dispute at Under Hearing with 1 matter(s) on file,2,0,0,100.0,Low,All heirship claims documented
22-002-017-463019,61.97,Medium,Compensation sanctioned is 45% below the circle-rate benchmark,39.65,Medium,Title is partial over fragmented holdings — objection risk at award,1,1,0,86.5,Medium,1 heir claim(s) without documentary proof — mutation not established
22-002-018-182753,35.03,Medium,Only 17% of the sanctioned award has actually been disbursed,40.03,Medium,Dispute at Under Hearing with 1 matter(s) on file,3,0,1,91.0,High,Competing heirship claims over the same parcel
22-002-019-299770,53.53,Medium,Only 40% of the sanctioned award has actually been disbursed,42.17,Medium,Dispute at Filed with 3 matter(s) on file,3,0,0,100.0,Medium,3 heirs on one parcel — consent risk at award
22-002-019-640682,57.32,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,32.87,Low,Dispute at Under Hearing with 1 matter(s) on file,3,1,1,91.9,High,Competing heirship claims over the same parcel
22-002-022-310918,62.6,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,61.23,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,4,0,2,100.0,High,Competing heirship claims over the same parcel
22-002-022-348266,18.31,Low,Compensation is close to the circle-rate benchmark and largely disbursed,58.73,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-022-420389,28.04,Low,Compensation is close to the circle-rate benchmark and largely disbursed,43.54,Medium,Dispute at Under Hearing with 1 matter(s) on file,2,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
22-002-023-768360,94.8,High,Compensation sanctioned is 56% below the circle-rate benchmark,45.92,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-002-023-912116,45.14,Medium,Only 26% of the sanctioned award has actually been disbursed,5.65,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-002-024-084926,46.82,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,4.88,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-001-772885,58.5,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,29.18,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-001-966349,18.18,Low,Compensation is close to the circle-rate benchmark and largely disbursed,31.71,Low,Dispute at Filed with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-002-176327,23.72,Low,Only 49% of the sanctioned award has actually been disbursed,5.84,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-002-219883,17.92,Low,Compensation is close to the circle-rate benchmark and largely disbursed,57.58,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,1,0,1,94.5,High,Competing heirship claims over the same parcel
22-009-002-243259,59.12,Medium,Only 15% of the sanctioned award has actually been disbursed,44.57,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-003-212798,44.51,Medium,Compensation sanctioned is 38% below the circle-rate benchmark,34.43,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-003-276112,75.75,High,Compensation sanctioned is 53% below the circle-rate benchmark,27.87,Low,Dispute at Filed with 2 matter(s) on file,2,1,0,86.2,Medium,1 heir claim(s) without documentary proof — mutation not established
22-009-004-262101,25.1,Low,Compensation is close to the circle-rate benchmark and largely disbursed,6.95,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-004-500684,82.24,High,Compensation sanctioned is 48% below the circle-rate benchmark,24.43,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-004-522374,50.49,Medium,Compensation sanctioned is 41% below the circle-rate benchmark,33.57,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-007-337564,67.44,High,Compensation sanctioned is 32% below the circle-rate benchmark,30.74,Low,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-007-960071,19.09,Low,Only 49% of the sanctioned award has actually been disbursed,6.24,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-008-472058,41.0,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,44.13,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-010-139561,62.88,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,36.44,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-011-853396,38.46,Medium,Only 8% of the sanctioned award has actually been disbursed,23.31,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-012-513964,45.47,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,7.18,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-013-311291,79.54,High,Compensation sanctioned is 58% below the circle-rate benchmark,46.3,Medium,Dispute at Filed with 7 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-013-481454,69.35,High,Compensation sanctioned is 49% below the circle-rate benchmark,50.86,Medium,Dispute at Filed with 5 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-014-008304,32.83,Low,Compensation is close to the circle-rate benchmark and largely disbursed,62.16,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-014-331358,27.76,Low,Compensation is close to the circle-rate benchmark and largely disbursed,3.63,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-015-710252,54.23,Medium,Compensation sanctioned is 39% below the circle-rate benchmark,5.28,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-018-967292,46.95,Medium,Compensation sanctioned is 40% below the circle-rate benchmark,28.08,Low,Dispute at Filed with 2 matter(s) on file,4,3,0,93.5,Medium,3 heir claim(s) without documentary proof — mutation not established
22-009-020-067439,40.94,Medium,Only 40% of the sanctioned award has actually been disbursed,37.7,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-020-203958,56.36,Medium,Compensation sanctioned is 35% below the circle-rate benchmark,63.63,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,2,0,94.7,Medium,2 heir claim(s) without documentary proof — mutation not established
22-009-021-025825,36.15,Medium,Only 36% of the sanctioned award has actually been disbursed,54.66,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-021-420306,51.14,Medium,Compensation sanctioned is 35% below the circle-rate benchmark,62.31,Medium,Dispute at Filed with 4 matter(s) on file,1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-009-021-451815,62.7,Medium,Compensation sanctioned is 45% below the circle-rate benchmark,48.55,Medium,Dispute at Under Hearing with 3 matter(s) on file,1,0,0,100.0,Low,All heirship claims documented
22-009-021-927813,45.78,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,6.42,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-022-705887,71.19,High,Compensation sanctioned is 55% below the circle-rate benchmark,36.83,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-009-023-040045,28.14,Low,Compensation is close to the circle-rate benchmark and largely disbursed,0.0,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-003-019606,16.3,Low,Compensation is close to the circle-rate benchmark and largely disbursed,59.19,Medium,Dispute at Under Hearing with 5 matter(s) on file,2,0,0,100.0,Low,All heirship claims documented
22-014-003-088548,58.31,Medium,Compensation sanctioned is 46% below the circle-rate benchmark,26.58,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-003-242905,57.82,Medium,Compensation sanctioned is 38% below the circle-rate benchmark,61.05,Medium,Dispute at Filed with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-003-570750,34.72,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,24.76,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-004-452829,47.21,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,40.84,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,3,0,1,92.8,High,Competing heirship claims over the same parcel
22-014-005-537148,22.15,Low,Only 45% of the sanctioned award has actually been disbursed,6.32,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-006-813946,47.44,Medium,Only 23% of the sanctioned award has actually been disbursed,70.67,High,Dispute at Under Hearing with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-007-664694,38.83,Medium,Only 24% of the sanctioned award has actually been disbursed,64.91,Medium,Dispute at Under Hearing with 8 matter(s) on file,4,1,1,100.0,High,Competing heirship claims over the same parcel
22-014-008-482155,65.77,Medium,Compensation sanctioned is 50% below the circle-rate benchmark,12.79,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-009-112459,43.38,Medium,Only 40% of the sanctioned award has actually been disbursed,47.07,Medium,Title is disputed over fragmented holdings — objection risk at award,3,3,0,97.1,Medium,3 heir claim(s) without documentary proof — mutation not established
22-014-009-741647,32.62,Low,Compensation sanctioned is 30% below the circle-rate benchmark,42.89,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,1,100.0,High,Competing heirship claims over the same parcel
22-014-011-342646,40.72,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,11.98,Low,"Clear title, no live litigation on record",4,1,0,95.5,Medium,1 heir claim(s) without documentary proof — mutation not established
22-014-011-799681,16.41,Low,Compensation is close to the circle-rate benchmark and largely disbursed,61.5,Medium,Dispute at Under Hearing with 5 matter(s) on file,1,0,0,100.0,Low,All heirship claims documented
22-014-011-945886,31.8,Low,Compensation is close to the circle-rate benchmark and largely disbursed,34.28,Medium,Dispute at Under Hearing with 1 matter(s) on file,3,0,2,96.5,High,Competing heirship claims over the same parcel
22-014-012-594344,36.64,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,34.59,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-012-813733,41.52,Medium,Only 32% of the sanctioned award has actually been disbursed,32.09,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-013-660569,38.56,Medium,Only 32% of the sanctioned award has actually been disbursed,18.97,Low,Dispute at Filed with 1 matter(s) on file,1,0,0,63.1,Low,All heirship claims documented
22-014-013-719914,76.27,High,Compensation sanctioned is 45% below the circle-rate benchmark,61.35,Medium,Dispute at Filed with 3 matter(s) on file,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-014-013-822415,35.94,Medium,Only 22% of the sanctioned award has actually been disbursed,48.23,Medium,Dispute at Under Hearing with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-014-138282,56.58,Medium,Only 37% of the sanctioned award has actually been disbursed,32.54,Low,Dispute at Filed with 1 matter(s) on file,3,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-014-016-234546,46.38,Medium,Only 23% of the sanctioned award has actually been disbursed,62.37,Medium,Dispute at Under Hearing with 5 matter(s) on file,3,1,1,100.0,High,Competing heirship claims over the same parcel
22-014-017-221878,68.19,High,Compensation sanctioned is 30% below the circle-rate benchmark,56.16,Medium,Dispute at Under Hearing with 8 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-017-781394,39.37,Medium,Compensation sanctioned is 25% below the circle-rate benchmark,29.93,Low,Title is partial over fragmented holdings — objection risk at award,4,3,1,100.0,High,Competing heirship claims over the same parcel
22-014-017-793907,50.57,Medium,Compensation sanctioned is 31% below the circle-rate benchmark,5.23,Low,"Clear title, no live litigation on record",4,2,1,100.0,High,Competing heirship claims over the same parcel
22-014-018-128587,67.24,High,Compensation sanctioned is 62% below the circle-rate benchmark,38.62,Medium,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-019-874264,65.28,Medium,Compensation sanctioned is 49% below the circle-rate benchmark,23.49,Low,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-019-915871,34.26,Medium,Only 21% of the sanctioned award has actually been disbursed,62.32,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-020-275962,30.54,Low,Only 31% of the sanctioned award has actually been disbursed,25.7,Low,Dispute at Under Hearing with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-021-856754,61.36,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,4.59,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-014-023-503989,48.72,Medium,Only 28% of the sanctioned award has actually been disbursed,56.82,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-018-001-023764,34.76,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,26.86,Low,Dispute at Filed with 2 matter(s) on file,2,2,0,100.0,Medium,2 heir claim(s) without documentary proof — mutation not established
22-018-001-545491,51.97,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,63.86,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-001-716122,45.64,Medium,Compensation sanctioned is 38% below the circle-rate benchmark,5.08,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-002-476787,40.86,Medium,Only 48% of the sanctioned award has actually been disbursed,59.93,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,1,88.7,High,Competing heirship claims over the same parcel
22-018-003-186466,42.82,Medium,Only 47% of the sanctioned award has actually been disbursed,9.56,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-003-316142,25.52,Low,Compensation is close to the circle-rate benchmark and largely disbursed,14.07,Low,"Clear title, no live litigation on record",1,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-018-003-425514,41.97,Medium,Only 25% of the sanctioned award has actually been disbursed,11.29,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-005-566774,16.12,Low,Compensation is close to the circle-rate benchmark and largely disbursed,48.22,Medium,Dispute at Filed with 4 matter(s) on file,2,1,0,98.8,Medium,1 heir claim(s) without documentary proof — mutation not established
22-018-006-970351,20.66,Low,Compensation is close to the circle-rate benchmark and largely disbursed,67.36,High,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-007-031791,54.39,Medium,Only 9% of the sanctioned award has actually been disbursed,55.64,Medium,Dispute at Filed with 5 matter(s) on file,1,0,0,67.5,Low,All heirship claims documented
22-018-007-427108,30.91,Low,Compensation is close to the circle-rate benchmark and largely disbursed,61.32,Medium,Dispute at Filed with 4 matter(s) on file,1,0,0,100.0,Low,All heirship claims documented
22-018-009-028179,58.68,Medium,Compensation sanctioned is 51% below the circle-rate benchmark,26.82,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-012-901195,38.68,Medium,Only 46% of the sanctioned award has actually been disbursed,24.06,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-013-296622,46.25,Medium,Only 21% of the sanctioned award has actually been disbursed,49.54,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-014-152454,76.78,High,Compensation sanctioned is 44% below the circle-rate benchmark,33.36,Medium,Dispute at Filed with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-014-243421,7.02,Low,Compensation is close to the circle-rate benchmark and largely disbursed,8.42,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-015-281782,34.18,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,29.7,Low,Title is partial over fragmented holdings — objection risk at award,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-018-015-420983,64.29,Medium,Compensation sanctioned is 38% below the circle-rate benchmark,55.09,Medium,Title is disputed over fragmented holdings — objection risk at award,2,1,0,90.0,Medium,1 heir claim(s) without documentary proof — mutation not established
22-018-016-513419,45.17,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,42.82,Medium,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-016-820400,51.74,Medium,Only 10% of the sanctioned award has actually been disbursed,4.74,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-016-872581,68.59,High,Compensation sanctioned is 50% below the circle-rate benchmark,60.57,Medium,Dispute at Filed with 5 matter(s) on file,1,0,1,74.9,High,Competing heirship claims over the same parcel
22-018-017-394037,43.7,Medium,Only 39% of the sanctioned award has actually been disbursed,10.12,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-017-780109,53.88,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,33.93,Medium,Title is partial over fragmented holdings — objection risk at award,1,0,1,98.9,High,Competing heirship claims over the same parcel
22-018-019-687038,59.24,Medium,Only 25% of the sanctioned award has actually been disbursed,28.1,Low,Dispute at Under Hearing with 1 matter(s) on file,4,0,1,100.0,High,Competing heirship claims over the same parcel
22-018-020-948330,37.68,Medium,Compensation is close to the circle-rate benchmark and largely disbursed,39.19,Medium,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-021-025320,31.45,Low,Compensation sanctioned is 25% below the circle-rate benchmark,18.7,Low,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-021-350278,45.73,Medium,Compensation sanctioned is 30% below the circle-rate benchmark,41.83,Medium,Dispute at Filed with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-021-586883,49.39,Medium,Compensation sanctioned is 37% below the circle-rate benchmark,25.95,Low,Dispute at Filed with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-021-691048,43.56,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,56.56,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,0,100.0,Low,All heirship claims documented
22-018-021-968127,48.09,Medium,Only 33% of the sanctioned award has actually been disbursed,49.26,Medium,Dispute at Filed with 1 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-024-418496,46.8,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,45.95,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
22-018-024-885603,34.74,Medium,Only 27% of the sanctioned award has actually been disbursed,16.15,Low,Title is partial over fragmented holdings — objection risk at award,4,1,2,93.2,High,Competing heirship claims over the same parcel
22-018-024-953394,46.04,Medium,Only 14% of the sanctioned award has actually been disbursed,39.53,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-001-197598,38.13,Medium,Compensation sanctioned is 25% below the circle-rate benchmark,28.55,Low,Title is partial over fragmented holdings — objection risk at award,3,1,1,92.0,High,Competing heirship claims over the same parcel
23-004-002-021181,46.69,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,59.14,Medium,Dispute at Under Hearing with 2 matter(s) on file,2,0,1,91.7,High,Competing heirship claims over the same parcel
23-004-003-065678,29.37,Low,Compensation is close to the circle-rate benchmark and largely disbursed,38.57,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-004-590038,47.08,Medium,Compensation sanctioned is 42% below the circle-rate benchmark,47.69,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,1,91.0,High,Competing heirship claims over the same parcel
23-004-005-150803,50.47,Medium,Only 27% of the sanctioned award has actually been disbursed,21.66,Low,Dispute at Filed with 1 matter(s) on file,1,1,0,75.1,Medium,1 heir claim(s) without documentary proof — mutation not established
23-004-005-460454,67.71,High,Compensation sanctioned is 51% below the circle-rate benchmark,64.34,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,3,1,1,100.0,High,Competing heirship claims over the same parcel
23-004-006-093855,31.74,Low,Compensation is close to the circle-rate benchmark and largely disbursed,7.61,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-009-955041,53.5,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,38.96,Medium,Dispute at Under Hearing with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-010-095966,56.03,Medium,Compensation sanctioned is 34% below the circle-rate benchmark,8.86,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-010-714020,31.25,Low,Compensation is close to the circle-rate benchmark and largely disbursed,70.86,High,Dispute at Under Hearing with 9 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-011-004994,44.49,Medium,Only 41% of the sanctioned award has actually been disbursed,66.73,High,Dispute at Under Hearing with 4 matter(s) on file,4,1,0,100.0,Medium,1 heir claim(s) without documentary proof — mutation not established
23-004-011-299727,41.7,Medium,Compensation sanctioned is 33% below the circle-rate benchmark,32.06,Low,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
23-004-012-503573,19.76,Low,Compensation is close to the circle-rate benchmark and largely disbursed,43.33,Medium,Dispute at Under Hearing with 2 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
